filename,folder
24bitowy\24bitowy_4.wav,24bitowy
24bitowy\24bitowy_3.wav,24bitowy
30letnia\30letnia_1.wav,30letnia
30letnia\30letnia_2.wav,30letnia
50metre\50metre_3.wav,50metre
50metre\50metre_1.wav,50metre
50metrowy\50metrowy_3.wav,50metrowy
50metrowy\50metrowy_1.wav,50metrowy
7krotnie\7krotnie_4.wav,7krotnie
7krotnie\7krotnie_1.wav,7krotnie
a\a_964.wav,a
a\a_603.wav,a
a\a_210.wav,a
a\a_533.wav,a
a\a_491.wav,a
a\a_1028.wav,a
a\a_689.wav,a
a\a_248.wav,a
a\a_271.wav,a
a\a_197.wav,a
a\a_530.wav,a
a\a_667.wav,a
a\a_499.wav,a
a\a_780.wav,a
a\a_352.wav,a
a\a_944.wav,a
a\a_676.wav,a
a\a_811.wav,a
a\a_686.wav,a
a\a_629.wav,a
a\a_777.wav,a
a\a_339.wav,a
a\a_513.wav,a
a\a_124.wav,a
a\a_598.wav,a
a\a_611.wav,a
a\a_728.wav,a
a\a_228.wav,a
a\a_218.wav,a
a\a_1001.wav,a
a\a_578.wav,a
a\a_195.wav,a
a\a_266.wav,a
a\a_612.wav,a
a\a_263.wav,a
a\a_436.wav,a
a\a_358.wav,a
a\a_490.wav,a
a\a_289.wav,a
a\a_398.wav,a
a\a_866.wav,a
a\a_32.wav,a
a\a_996.wav,a
a\a_381.wav,a
a\a_455.wav,a
a\a_1015.wav,a
a\a_1093.wav,a
a\a_417.wav,a
a\a_126.wav,a
a\a_1060.wav,a
a\a_45.wav,a
a\a_855.wav,a
a\a_73.wav,a
a\a_978.wav,a
a\a_596.wav,a
a\a_208.wav,a
a\a_109.wav,a
a\a_646.wav,a
a\a_12.wav,a
a\a_1074.wav,a
a\a_233.wav,a
a\a_496.wav,a
a\a_781.wav,a
a\a_140.wav,a
a\a_1017.wav,a
a\a_986.wav,a
a\a_554.wav,a
a\a_818.wav,a
a\a_952.wav,a
a\a_858.wav,a
a\a_328.wav,a
a\a_460.wav,a
a\a_788.wav,a
a\a_715.wav,a
a\a_1089.wav,a
a\a_668.wav,a
a\a_792.wav,a
a\a_463.wav,a
a\a_346.wav,a
a\a_774.wav,a
a\a_703.wav,a
a\a_1095.wav,a
a\a_519.wav,a
a\a_1064.wav,a
a\a_594.wav,a
a\a_335.wav,a
a\a_375.wav,a
a\a_771.wav,a
a\a_680.wav,a
a\a_582.wav,a
a\a_994.wav,a
